id,label
511,0
738,1
778,1
196,0
327,0
389,0
565,2
618,1
571,2
828,1
117,0
458,0
806,1
449,0
387,0
759,1
298,0
315,1
97,0
592,2
638,1
470,0
848,1
227,0
176,0
647,1
227,0
394,0
552,2
506,0
464,0
128,0
289,0
467,0
621,1
412,0
179,0
738,1
180,0
838,1
38,1
821,1
525,0
191,0
657,1
229,0
797,1
389,0
271,0
12,0
393,0
190,0
459,0
696,1
371,0
684,1
369,0
551,2
326,1
614,1
406,1
817,1
220,0
698,1
710,1
122,0
490,0
796,1
214,0
526,0
824,1
497,0
683,1
62,0
23,0
560,2
291,0
431,0
394,0
63,0
105,0
230,0
335,0
18,0
567,2
340,0
737,1
756,1
829,1
323,0
729,1
622,1
552,2
531,0
315,1
551,2
488,0
140,0
478,0
687,1
246,0
115,0
400,0
503,0
509,0
267,0
106,0
283,0
93,0
691,1
337,0
740,1
206,0
663,1
725,1
775,1
590,2
676,1
512,0
396,0
592,2
704,1
440,0
760,1
587,2
83,0
88,0
38,1
677,1
469,0
96,0
384,0
216,0
767,1
322,0
22,0
500,0
710,1
243,2
96,0
32,0
612,1
16,0
433,0
198,0
354,0
459,0
398,0
237,0
452,0
135,0
185,0
654,1
273,0
182,0
177,0
419,0
71,1
43,0
544,2
133,0
604,1
236,0
690,1
779,1
367,0
645,1
114,0
211,0
376,0
359,0
148,0
692,1
795,1
10,0
201,0
164,0
657,1
672,1
488,0
218,0
229,0
550,2
800,1
131,0
809,1
87,0
366,0
189,0
143,0
563,2
2,0
339,0
849,1
521,0
605,1
178,0
76,0
257,0
21,0
598,1
414,0
820,1
662,1
813,1
417,0
55,0
814,1
352,0
489,0
341,0
289,0
636,1
225,0
386,0
463,0
350,0
340,0
180,0
131,0
94,0
606,1
121,0
606,1
781,1
700,1
22,0
663,1
275,0
293,0
106,0
42,0
444,0
667,1
175,0
270,0
46,0
689,1
637,1
322,0
358,0
195,0
647,1
816,1
365,0
420,0
569,2
54,0
125,0
783,1
583,2
50,0
168,0
557,2
200,0
173,0
624,1
409,0
733,1
766,1
374,0
823,1
662,1
415,0
210,0
561,2
524,0
239,0
563,2
225,0
267,0
439,2
118,0
611,1
403,1
66,0
178,0
504,0
770,1
256,0
720,1
749,1
149,0
124,1
568,2
305,0
395,1
529,0
489,0
544,2
64,0
691,1
404,0
518,0
407,0
781,1
211,0
369,0
346,0
364,0
368,0
715,1
611,1
112,1
532,0
202,0
501,0
151,0
156,0
299,0
118,0
205,0
430,0
139,0
348,0
45,0
735,1
219,0
244,0
60,0
530,0
169,0
191,0
238,0
396,0
261,0
583,2
499,0
465,0
593,2
669,1
7,0
332,0
240,0
704,1
196,0
410,0
766,1
425,0
466,0
734,1
534,0
101,0
476,0
432,0
311,0
682,1
104,0
367,0
31,0
226,0
773,1
830,1
264,0
26,0
307,0
633,1
778,1
125,0
272,0
213,0
314,0
779,1
259,0
90,0
780,1
192,0
263,0
805,1
228,0
493,0
588,2
149,0
504,0
420,0
351,0
721,1
443,0
293,0
584,2
413,0
815,1
235,0
455,0
343,0
228,0
93,0
651,1
600,1
49,0
23,0
304,0
758,1
27,0
646,1
731,1
189,0
545,2
87,0
164,0
472,1
71,1
166,0
747,1
676,1
455,0
446,0
474,0
477,0
258,0
167,0
248,0
126,0
275,0
451,0
368,0
204,0
372,0
232,0
584,2
837,1
610,1
765,1
527,0
347,0
756,1
726,1
441,0
423,0
518,0
549,2
505,0
627,1
695,1
730,1
351,0
268,0
763,1
456,0
336,0
479,0
734,1
625,1
197,0
274,0
192,0
319,1
462,0
160,0
790,1
526,0
753,1
440,0
620,1
